Category,Subcategory,Name,Role/Notes,Twitter (X),Facebook,YouTube
Haryana,Political Leader,Nayab Singh Saini,"Chief Minister, Haryana",https://twitter.com/NayabSainiBJP,,
Haryana,Political Leader,Manohar Lal Khattar,Former Chief Minister,https://twitter.com/mlkhattar,https://www.facebook.com/mlkhattar,
Haryana,Political Leader,Bhupinder Singh Hooda,Former Chief Minister; Senior INC leader,https://twitter.com/BhupinderSHooda,https://www.facebook.com/BhupinderSHooda,
Haryana,Political Leader,Deepender Singh Hooda,MP (Rohtak),https://twitter.com/DeependerSHooda,https://www.facebook.com/DeependerSHooda,
Haryana,Political Leader,Randeep Singh Surjewala,INC leader,https://twitter.com/rssurjewala,https://www.facebook.com/RSSurjewala,
Haryana,Political Leader,Dushyant Chautala,JJP leader,https://twitter.com/Dchautala,https://www.facebook.com/DushyantChautala,
Haryana,Political Leader,Abhay Singh Chautala,INLD leader,https://twitter.com/AbhaySChautala,https://www.facebook.com/AbhaySinghChautala,
Haryana,Political Leader,Anil Vij,Senior BJP leader,https://twitter.com/anilvijminister,https://www.facebook.com/anilvijminister,
Haryana,Political Leader,Kumari Selja,Senior INC leader,https://twitter.com/kumari_selja,https://www.facebook.com/kumari.selja,
Haryana,Political Leader,Om Prakash Dhankar,BJP leader,https://twitter.com/OPDhankar,,
Haryana,Political Leader,Chiranjeev Rao,INC leader,https://twitter.com/ChiranjeevINC,https://www.facebook.com/ChiranjeevRaoINC,
Haryana,Political Leader,Kiran Choudhry,INC leader,https://twitter.com/officekiran,https://www.facebook.com/OfficeKiranChoudhry,
Haryana,Political Party,BJP Haryana,State unit,https://twitter.com/BJP4Haryana,https://www.facebook.com/BJP4Haryana,
Haryana,Political Party,INC Haryana,State unit,https://twitter.com/INCHaryana,https://www.facebook.com/INCHaryana,
Haryana,Political Party,INLD Haryana,State unit,https://twitter.com/INLDHaryana,https://www.facebook.com/INLDHaryana,
Haryana,Political Party,JJP Haryana,State unit,https://twitter.com/JJP_Haryana,https://www.facebook.com/JJP.Haryana,
Haryana,Political Party,AAP Haryana,State unit,https://twitter.com/AAPHaryana,https://www.facebook.com/AAPHaryana,
Haryana,Influencer/Activist,Gurnam Singh Chaduni,Farmer leader/activist,https://twitter.com/GurnamChaduni,https://www.facebook.com/GurnamSinghChaduni,
Haryana,Influencer/Activist,Sarvmitr Kamboj (The Masla),Political commentator,https://twitter.com/SarvmitrKamboj,https://www.facebook.com/SarvmitrKamboj,https://www.youtube.com/@TheMasla
Haryana,Influencer/Activist,Dharmender Kanwari (Gurukul of Politics),Political educator,https://twitter.com/DharmenderKanwari,https://www.facebook.com/DharmenderKanwari,https://www.youtube.com/@GurukulOfPolitics
Haryana,Influencer/Activist,Bhajan Singh Manakmajra,Social activist,,https://www.facebook.com/BhajanSinghManakmajra,
Haryana,Influencer/Activist,Shweta,Influencer,https://twitter.com/Shweta,https://www.facebook.com/Shweta,
India,National Leader,Narendra Modi,Prime Minister,https://twitter.com/narendramodi,https://www.facebook.com/narendramodi,https://www.youtube.com/user/narendramodi
India,National Leader,Amit Shah,Home Minister,https://twitter.com/AmitShah,https://www.facebook.com/AmitShahOfficial,
India,National Leader,Rahul Gandhi,INC leader,https://twitter.com/RahulGandhi,https://www.facebook.com/RahulGandhi,
India,National Leader,Arvind Kejriwal,Delhi CM,https://twitter.com/ArvindKejriwal,https://www.facebook.com/AAPkaArvind,https://www.youtube.com/user/ArvindKejriwal
India,National Leader,Yogi Adityanath,UP CM,https://twitter.com/myogiadityanath,https://www.facebook.com/myogiadityanath,
India,National Leader,Mamata Banerjee,WB CM,https://twitter.com/MamataOfficial,https://www.facebook.com/MamataBanerjeeOfficial,
India,National Leader,Priyanka Gandhi Vadra,INC leader,https://twitter.com/priyankagandhi,https://www.facebook.com/priyankagandhivadra,
India,National Leader,J P Nadda,BJP President,https://twitter.com/JPNadda,https://www.facebook.com/JPNadda,
India,National Leader,Rajnath Singh,Defence Minister,https://twitter.com/rajnathsingh,https://www.facebook.com/RajnathSinghBJP,
India,National Leader,Nirmala Sitharaman,Finance Minister,https://twitter.com/nsitharaman,,
India,National Leader,Piyush Goyal,Minister,https://twitter.com/PiyushGoyal,https://www.facebook.com/PiyushGoyalOfficial,
India,National Leader,Shashi Tharoor,INC leader,https://twitter.com/ShashiTharoor,https://www.facebook.com/ShashiTharoor,
India,National Leader,Nitish Kumar,Bihar CM,https://twitter.com/NitishKumar,https://www.facebook.com/NitishKumarJDU,
India,National Leader,Akhilesh Yadav,SP President,https://twitter.com/yadavakhilesh,https://www.facebook.com/AkhileshYadav,
India,National Leader,Uddhav Thackeray,Shiv Sena (UBT) leader,https://twitter.com/OfficeofUT,https://www.facebook.com/OfficeofUT,
India,National Leader,Sharad Pawar,NCP (SP) leader,https://twitter.com/PawarSpeaks,https://www.facebook.com/PawarSpeaks,
India,National Leader,M K Stalin,TN CM,https://twitter.com/mkstalin,https://www.facebook.com/mkstalin,
India,National Leader,Naveen Patnaik,Odisha CM,https://twitter.com/Naveen_Odisha,https://www.facebook.com/NaveenOdisha,
India,National Leader,Himanta Biswa Sarma,Assam CM,https://twitter.com/himantabiswa,https://www.facebook.com/himantabiswasarma,
India,National Leader,Siddaramaiah,Karnataka CM,https://twitter.com/siddaramaiah,https://www.facebook.com/siddaramaiah,
